locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHINPGCH_00046	CDS	1053	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
IHINPGCH_00047	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IHINPGCH_00048	CDS	1041	galM	5.1.3.3	COG2017	Aldose 1-epimerase
IHINPGCH_00049	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
IHINPGCH_00050	CDS	1047	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
IHINPGCH_00051	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
IHINPGCH_00052	CDS	1473	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
IHINPGCH_00053	CDS	789	modE		COG2005	Transcriptional regulator ModE
IHINPGCH_00054	CDS	150	acrZ			Multidrug efflux pump accessory protein AcrZ
IHINPGCH_00055	CDS	774	modA		COG0725	Molybdate-binding protein ModA
IHINPGCH_00056	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
IHINPGCH_00057	CDS	1059	cysA_1	3.6.3.25	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
IHINPGCH_00058	CDS	819	ybhA	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
IHINPGCH_00059	CDS	996	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
IHINPGCH_00060	CDS	954	oxyR_1			Hydrogen peroxide-inducible genes activator
IHINPGCH_00061	CDS	1053	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
IHINPGCH_00062	CDS	1434	ybhI		COG0471	Inner membrane protein YbhI
IHINPGCH_00063	CDS	2262	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
IHINPGCH_00064	CDS	1284	ybhC	3.1.2.-	COG4677	Putative acyl-CoA thioester hydrolase YbhC
IHINPGCH_00065	CDS	1071	xerD_1			Tyrosine recombinase XerD
IHINPGCH_00066	CDS	168				hypothetical protein
IHINPGCH_00067	CDS	150				hypothetical protein
IHINPGCH_00068	CDS	222				hypothetical protein
IHINPGCH_00069	CDS	216				hypothetical protein
IHINPGCH_00070	CDS	192				hypothetical protein
IHINPGCH_00071	CDS	183				hypothetical protein
IHINPGCH_00072	CDS	681				hypothetical protein
IHINPGCH_00073	CDS	786				hypothetical protein
IHINPGCH_00074	CDS	297				hypothetical protein
IHINPGCH_00075	CDS	207	kilR_1			Killing protein KilR
IHINPGCH_00076	CDS	690			COG2932	putative HTH-type transcriptional regulator
IHINPGCH_00077	CDS	231				hypothetical protein
IHINPGCH_00078	CDS	540				hypothetical protein
IHINPGCH_00079	CDS	1005				hypothetical protein
IHINPGCH_00080	CDS	702				hypothetical protein
IHINPGCH_00081	CDS	303				hypothetical protein
IHINPGCH_00082	CDS	222	emrE_1		COG2076	Multidrug transporter EmrE
IHINPGCH_00083	CDS	795				hypothetical protein
IHINPGCH_00084	CDS	240				hypothetical protein
IHINPGCH_00085	CDS	507				hypothetical protein
IHINPGCH_00086	CDS	456				hypothetical protein
IHINPGCH_00087	CDS	171				hypothetical protein
IHINPGCH_00088	CDS	291	ybcO_1	3.1.-.-		Putative nuclease YbcO
IHINPGCH_00089	CDS	228	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
IHINPGCH_00090	CDS	138	ylcG			putative protein YlcG
IHINPGCH_00091	CDS	384				hypothetical protein
IHINPGCH_00092	CDS	1083	ompD_1			Outer membrane porin protein OmpD
IHINPGCH_00093	CDS	216				hypothetical protein
IHINPGCH_00094	CDS	498	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
IHINPGCH_00095	CDS	438				hypothetical protein
IHINPGCH_00096	CDS	522				hypothetical protein
IHINPGCH_00097	CDS	165				hypothetical protein
IHINPGCH_00098	CDS	411	ydfO_1		COG5562	putative protein YdfO
IHINPGCH_00099	CDS	234				hypothetical protein
IHINPGCH_00100	CDS	546				hypothetical protein
IHINPGCH_00101	CDS	1662				hypothetical protein
IHINPGCH_00102	CDS	219				hypothetical protein
IHINPGCH_00103	CDS	207				hypothetical protein
IHINPGCH_00104	CDS	1602				hypothetical protein
IHINPGCH_00105	CDS	1320	sppA_1	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
IHINPGCH_00106	CDS	333				hypothetical protein
IHINPGCH_00107	CDS	1026				hypothetical protein
IHINPGCH_00108	CDS	396				hypothetical protein
IHINPGCH_00109	CDS	354				hypothetical protein
IHINPGCH_00110	CDS	579				hypothetical protein
IHINPGCH_00111	CDS	396				hypothetical protein
IHINPGCH_00112	CDS	741				hypothetical protein
IHINPGCH_00113	CDS	423				hypothetical protein
IHINPGCH_00114	CDS	435				hypothetical protein
IHINPGCH_00115	CDS	2115				hypothetical protein
IHINPGCH_00116	CDS	600	ompX_1		COG3637	Outer membrane protein X
IHINPGCH_00117	CDS	3075				hypothetical protein
IHINPGCH_00118	CDS	585	tfaE_1			Prophage tail fiber assembly protein TfaE
IHINPGCH_00119	CDS	93				hypothetical protein
IHINPGCH_00120	CDS	1332	cdgI_1	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
IHINPGCH_00121	CDS	477				hypothetical protein
IHINPGCH_00122	CDS	1290	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
IHINPGCH_00123	CDS	1041	bioB	2.8.1.6	COG0502	Biotin synthase
IHINPGCH_00124	CDS	1155	bioF_1	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
IHINPGCH_00125	CDS	756	bioC	2.1.1.197	COG0500	Malonyl-[acyl-carrier protein] O-methyltransferase
IHINPGCH_00126	CDS	678	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
IHINPGCH_00127	CDS	2022	uvrB		COG0556	UvrABC system protein B
IHINPGCH_00128	CDS	909	ybhK		COG0391	Putative gluconeogenesis factor
IHINPGCH_00129	CDS	990	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
IHINPGCH_00130	CDS	513	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
IHINPGCH_00131	CDS	486	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
IHINPGCH_00132	CDS	246	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
IHINPGCH_00133	CDS	453	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
IHINPGCH_00134	CDS	705	ybhL		COG0670	Inner membrane protein YbhL
IHINPGCH_00135	CDS	450				hypothetical protein
IHINPGCH_00136	CDS	375				hypothetical protein
IHINPGCH_00137	CDS	714				hypothetical protein
IHINPGCH_00138	CDS	957	ybhN		COG0392	Inner membrane protein YbhN
IHINPGCH_00139	CDS	1242	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
IHINPGCH_00140	CDS	762				hypothetical protein
IHINPGCH_00141	CDS	411	ybhQ			Inner membrane protein YbhQ
IHINPGCH_00142	CDS	1107	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
IHINPGCH_00143	CDS	1134	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
IHINPGCH_00144	CDS	1737	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
IHINPGCH_00145	CDS	996				hypothetical protein
IHINPGCH_00146	CDS	672	cecR		COG1309	HTH-type transcriptional dual regulator CecR
IHINPGCH_00147	CDS	1365	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
IHINPGCH_00148	CDS	450	ybiA	3.2.2.-	COG3236	N-glycosidase YbiA
IHINPGCH_00149	CDS	2286	dinG_1	3.6.4.12	COG1199	putative ATP-dependent helicase DinG
IHINPGCH_00150	CDS	963	ybiB		COG0547	putative protein YbiB
IHINPGCH_00151	CDS	1086	hcxB	1.1.1.-	COG2055	Hydroxycarboxylate dehydrogenase B
IHINPGCH_00152	CDS	261	bhsA_1			Multiple stress resistance protein BhsA
IHINPGCH_00153	CDS	267	ybiI		COG1734	putative protein YbiI
IHINPGCH_00154	CDS	675		1.14.11.-	COG3128	PKHD-type hydroxylase
IHINPGCH_00155	CDS	2283	fiu		COG4774	Catecholate siderophore receptor Fiu
IHINPGCH_00156	CDS	261	mcbA			putative protein McbA
IHINPGCH_00157	CDS	927	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
IHINPGCH_00158	CDS	2226	ybiO		COG0668	Moderate conductance mechanosensitive channel YbiO
IHINPGCH_00159	CDS	723	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
IHINPGCH_00160	CDS	660	glnP		COG0765	Glutamine transport system permease protein GlnP
IHINPGCH_00161	CDS	747	glnH		COG0834	Glutamine-binding periplasmic protein
IHINPGCH_00162	CDS	504	dps	1.16.-.-	COG0783	DNA protection during starvation protein
IHINPGCH_00163	CDS	888	rhtA		COG5006	Threonine/homoserine exporter RhtA
IHINPGCH_00164	CDS	516	ompX_2		COG3637	Outer membrane protein X
IHINPGCH_00165	CDS	1584	opgE	2.7.-.-	COG2194	Phosphoethanolamine transferase OpgE
IHINPGCH_00166	CDS	129	mntS			Small protein MntS
IHINPGCH_00167	CDS	468	mntR		COG1321	Transcriptional regulator MntR
IHINPGCH_00168	CDS	1119	ybiR		COG0471	Inner membrane protein YbiR
IHINPGCH_00169	CDS	921	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
IHINPGCH_00170	CDS	1593	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
IHINPGCH_00171	CDS	981				hypothetical protein
IHINPGCH_00172	CDS	1266	ybiU			putative protein YbiU
IHINPGCH_00173	CDS	816	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
IHINPGCH_00174	CDS	2433	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
IHINPGCH_00175	CDS	900	cutD	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
IHINPGCH_00176	CDS	663	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
IHINPGCH_00177	CDS	750	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
IHINPGCH_00178	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
IHINPGCH_00179	CDS	966	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
IHINPGCH_00180	CDS	1872	gsiA	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
IHINPGCH_00181	CDS	1539	gsiB		COG0747	Glutathione-binding protein GsiB
IHINPGCH_00182	CDS	921	gsiC		COG0601	Glutathione transport system permease protein GsiC
IHINPGCH_00183	CDS	912	gsiD		COG1173	Glutathione transport system permease protein GsiD
IHINPGCH_00184	CDS	2349	pdeI	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeI
IHINPGCH_00185	CDS	1329	dgcZ_1	2.7.7.65	COG2199	Diguanylate cyclase DgcZ
IHINPGCH_00186	CDS	1326	rimO_1	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
IHINPGCH_00187	CDS	384				hypothetical protein
IHINPGCH_00188	CDS	1116	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
IHINPGCH_00189	CDS	627	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GstB
IHINPGCH_00190	CDS	1203	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
IHINPGCH_00191	CDS	759	deoR_1		COG1349	Deoxyribose operon repressor
IHINPGCH_00192	CDS	597	ybjG	3.6.1.27	COG0671	Putative undecaprenyl-diphosphatase YbjG
IHINPGCH_00193	CDS	1233	mdfA			Multidrug transporter MdfA
IHINPGCH_00194	CDS	279				hypothetical protein
IHINPGCH_00195	CDS	816	ybjI	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
IHINPGCH_00196	CDS	1128	ybjJ			Inner membrane protein YbjJ
IHINPGCH_00197	CDS	537	rcdA		COG3226	HTH-type transcriptional regulator RcdA
IHINPGCH_00198	CDS	1686	aspT_1			Aspartate/alanine antiporter
IHINPGCH_00199	CDS	378	ybjM			Inner membrane protein YbjM
IHINPGCH_00200	CDS	258	grxA		COG0695	Glutaredoxin 1
IHINPGCH_00201	CDS	288				hypothetical protein
IHINPGCH_00202	CDS	723	nfsA	1.-.-.-	COG0778	Oxygen-insensitive NADPH nitroreductase
IHINPGCH_00203	CDS	903	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
IHINPGCH_00204	CDS	477	ybjN			putative protein YbjN
IHINPGCH_00205	CDS	1113	potF		COG0687	Putrescine-binding periplasmic protein
IHINPGCH_00206	CDS	1134	potA_1	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
IHINPGCH_00207	CDS	954	potH		COG1176	Putrescine transport system permease protein PotH
IHINPGCH_00208	CDS	846	ydcV_1			Inner membrane ABC transporter permease protein YdcV
IHINPGCH_00209	CDS	489	ybjO			Inner membrane protein YbjO
IHINPGCH_00210	CDS	1128	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
IHINPGCH_00211	CDS	732	artJ		COG0834	ABC transporter arginine-binding protein 1
IHINPGCH_00212	CDS	669	artM_1		COG4160	Arginine ABC transporter permease protein ArtM
IHINPGCH_00213	CDS	717	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
IHINPGCH_00214	CDS	732	artI		COG0834	Putative ABC transporter arginine-binding protein 2
IHINPGCH_00215	CDS	729	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
IHINPGCH_00216	CDS	516	ybjP			putative lipoprotein YbjP
IHINPGCH_00217	CDS	324				hypothetical protein
IHINPGCH_00218	CDS	831	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
IHINPGCH_00219	CDS	1014	auaH	1.1.1.394		Aurachin B dehydrogenase
IHINPGCH_00220	CDS	1431				hypothetical protein
IHINPGCH_00221	CDS	1002	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
IHINPGCH_00222	CDS	1719	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
IHINPGCH_00223	CDS	969	hcr	1.-.-.-	COG1018	NADH oxidoreductase HCR
IHINPGCH_00224	CDS	1653	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
IHINPGCH_00225	CDS	900	lysO		COG2431	Lysine exporter LysO
IHINPGCH_00226	CDS	696	aqpZ		COG0580	Aquaporin Z
IHINPGCH_00227	CDS	1659	recF_1			DNA replication and repair protein RecF
IHINPGCH_00228	CDS	993			COG2990	putative protein
IHINPGCH_00229	CDS	1116	macA		COG0845	Macrolide export protein MacA
IHINPGCH_00230	CDS	1947	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
IHINPGCH_00231	CDS	225	cspD		COG1278	Cold shock-like protein CspD
IHINPGCH_00232	CDS	321	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
IHINPGCH_00233	CDS	2277	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
IHINPGCH_00234	tRNA	88				tRNA-Ser(gga)
IHINPGCH_00235	CDS	219	infA		COG0361	Translation initiation factor IF-1
IHINPGCH_00236	CDS	705	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
IHINPGCH_00237	CDS	1722	msbA_1	3.6.3.-	COG1132	Lipid A export ATP-binding/permease protein MsbA
IHINPGCH_00238	CDS	1767	cydD		COG4988	ATP-binding/permease protein CydD
IHINPGCH_00239	CDS	966	trxB	1.8.1.9	COG0492	Thioredoxin reductase
IHINPGCH_00240	CDS	495	lrp		COG1522	Leucine-responsive regulatory protein
IHINPGCH_00241	CDS	4068	ftsK		COG1674	DNA translocase FtsK
IHINPGCH_00242	CDS	612	lolA		COG2834	Outer-membrane lipoprotein carrier protein
IHINPGCH_00243	CDS	1344	rarA		COG2256	Replication-associated recombination protein A
IHINPGCH_00244	CDS	1293	serS	6.1.1.11	COG0172	Serine--tRNA ligase
IHINPGCH_00245	CDS	2445	dmsA	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
IHINPGCH_00246	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
IHINPGCH_00247	CDS	864	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
IHINPGCH_00248	CDS	627	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
IHINPGCH_00249	CDS	1149	ycaD			putative MFS-type transporter YcaD
IHINPGCH_00250	CDS	1431	ycaM		COG0531	Inner membrane transporter YcaM
IHINPGCH_00251	CDS	909	pgrR_1			HTH-type transcriptional regulator PgrR
IHINPGCH_00252	CDS	591	kefF_1	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
IHINPGCH_00253	CDS	741	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
IHINPGCH_00254	CDS	2283	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
IHINPGCH_00255	CDS	858	focA		COG2116	putative formate transporter 1
IHINPGCH_00256	CDS	1761	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
IHINPGCH_00257	CDS	693				hypothetical protein
IHINPGCH_00258	CDS	1089	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
IHINPGCH_00259	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
IHINPGCH_00260	CDS	765	ycaL	3.4.24.-	COG0501	putative metalloprotease YcaL
IHINPGCH_00261	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
IHINPGCH_00262	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
IHINPGCH_00263	CDS	285	ihfB		COG0776	Integration host factor subunit beta
IHINPGCH_00264	CDS	2265	comEC		COG0658	ComE operon protein 3
IHINPGCH_00265	CDS	1749	msbA_2	3.6.3.-	COG1132	Lipid A export ATP-binding/permease protein MsbA
IHINPGCH_00266	CDS	987	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
IHINPGCH_00267	CDS	1233				hypothetical protein
IHINPGCH_00268	CDS	183				hypothetical protein
IHINPGCH_00269	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
IHINPGCH_00270	CDS	894				hypothetical protein
IHINPGCH_00271	CDS	780				hypothetical protein
IHINPGCH_00272	CDS	786	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
IHINPGCH_00273	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
IHINPGCH_00274	CDS	705	mukE		COG3095	Chromosome partition protein MukE
IHINPGCH_00275	CDS	4461	mukB		COG3096	Chromosome partition protein MukB
IHINPGCH_00276	CDS	1848				hypothetical protein
IHINPGCH_00277	CDS	549				hypothetical protein
IHINPGCH_00278	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
IHINPGCH_00279	CDS	981				hypothetical protein
IHINPGCH_00280	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
IHINPGCH_00281	CDS	1089	ompF		COG3203	Outer membrane protein F
IHINPGCH_00282	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
IHINPGCH_00283	CDS	1251	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
IHINPGCH_00284	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
IHINPGCH_00285	CDS	768	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
IHINPGCH_00286	CDS	792	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
IHINPGCH_00287	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
IHINPGCH_00288	CDS	960	ssuA			Putative aliphatic sulfonates-binding protein
IHINPGCH_00289	CDS	576	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
IHINPGCH_00290	CDS	543	elfA			Laminin-binding fimbrial subunit ElfA
IHINPGCH_00291	CDS	702	elfD		COG3121	putative fimbrial chaperone protein ElfD
IHINPGCH_00292	CDS	2601	elfC_1		COG3188	putative outer membrane usher protein ElfC
IHINPGCH_00293	CDS	1071	elfG_1		COG3539	putative fimbrial-like protein ElfG
IHINPGCH_00294	CDS	543	ycbU		COG3539	putative fimbrial-like protein YcbU
IHINPGCH_00295	CDS	564	ycbV		COG3539	putative fimbrial-like protein YcbV
IHINPGCH_00296	CDS	690	ycbF		COG3121	putative fimbrial chaperone YcbF
IHINPGCH_00297	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
IHINPGCH_00298	CDS	543	zapC			Cell division protein ZapC
IHINPGCH_00299	CDS	1110	ycbX		COG0633	putative protein YcbX
IHINPGCH_00300	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
IHINPGCH_00301	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
IHINPGCH_00302	CDS	1254	pqiA		COG2995	Paraquat-inducible protein A
IHINPGCH_00303	CDS	1641	pqiB		COG3008	Paraquat-inducible protein B
IHINPGCH_00304	CDS	564				hypothetical protein
IHINPGCH_00305	CDS	168	rmf		COG3130	Ribosome modulation factor
IHINPGCH_00306	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
IHINPGCH_00307	CDS	1761	lon_1	3.4.21.53		Lon protease
IHINPGCH_00308	CDS	453	matP		COG3120	Macrodomain Ter protein
IHINPGCH_00309	CDS	1041	ompA		COG2885	Outer membrane protein A
IHINPGCH_00310	CDS	510	sulA		COG5404	Cell division inhibitor SulA
IHINPGCH_00311	CDS	630	sxy		COG3070	Protein Sxy
IHINPGCH_00312	CDS	2163	yccS_1		COG1289	Inner membrane protein YccS
IHINPGCH_00313	CDS	447	yccF		COG3304	Inner membrane protein YccF
IHINPGCH_00314	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
IHINPGCH_00315	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
IHINPGCH_00316	CDS	663				hypothetical protein
IHINPGCH_00317	CDS	414	yccU		COG1832	putative protein YccU
IHINPGCH_00318	CDS	318	hspQ		COG3785	Heat shock protein HspQ
IHINPGCH_00319	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
IHINPGCH_00320	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
IHINPGCH_00321	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
IHINPGCH_00322	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
IHINPGCH_00323	tRNA	88				tRNA-Ser(tga)
IHINPGCH_00324	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
IHINPGCH_00325	CDS	1794	hyaB	1.12.99.6	COG0374	Hydrogenase-1 large chain
IHINPGCH_00326	CDS	708	hyaC		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
IHINPGCH_00327	CDS	588	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
IHINPGCH_00328	CDS	399	hyaE			Hydrogenase-1 operon protein HyaE
IHINPGCH_00329	CDS	858				hypothetical protein
IHINPGCH_00330	CDS	1545	appC	1.10.3.10	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
IHINPGCH_00331	CDS	1137	appB	1.10.3.10	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
IHINPGCH_00332	CDS	93	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
IHINPGCH_00333	CDS	1299	appA_1			Periplasmic AppA protein
